audio_file|text
excitement/excitement1.wav|Gratulálok Nagy Sándornak, aki Debrecenből érkezett el hozzánk. Nagyon szép volt a megfejtése, de hát egy földrajz történelem szakos tanár. Jól mondom? Ez...
excitement/excitement2.wav|De ez mind nem érdekes! Képzeljék el, Nagy Sándor GYES-en van! Hogy alakult ez így? Mert hogy ritka, hát nyilvánvalóan erre van mód. Én se akarok kimaradni.
excitement/excitement3.wav|Kedves Sándor, mutatok először is egy pénz- és számvitelinek számokat. Jó? Tizenöt kérdés. Az első ötezret ér, a tizenötödik negyven milliót, közben két garantált lépés a százezres, illetve a másfél milliós.
excitement/excitement4.wav|Hát én nagyon egyetértek vele. Az ötvenhét százalék, nézze meg, kik ülnek itt, állandóan jelöljük meg a c-t. Jó? Nézze meg, mindenki szedett már bongolatit, tangot.
excitement/excitement5.wav|Ez nem egy határozott pali, kérdezem a feleséget. Így van? Tépelődős? Akkor hall-- akkor várok egy határozott választ. Ezt szeretem. Megjelöljük az A-t.
excitement/excitement6.wav|Vigyázzon, mertamikor  válaszolnia kell, akkor ne legyen bizonytalan. Legalábbis Sándor ezért hívta fel. Átadom neki a szót. Harminc másodpercünk van. Tessék.
excitement/excitement7.wav|Jó, rendben van, akkor mi innentől kezdve megjelöljük az A-t és megnézzük, jól tanulta-e. Lássuk. Tökéletes tényleg amit mond. Így van.
excitement/excitement8.wav|Megvan a félmillió Forint Sándor. Nagyszerű! Következik a kilencedik 800 ezerért.
excitement/excitement9.wav|Nem egész döntés volt. Hihetetlenül kristálytiszta logikával mondta el, amit mondott.
excitement/excitement10.wav|Egy ötlet a héten, Majdnem. Ezt egyszer vissza fogom nézni, de nézzük, hogy jó e. Lássanak csodát! Lássanak csodát!
neutral/neutral1.wav|A www.rtlklub.hu nevű honlapunkon ugyancsak klikkelhetnek, vagy hogyha úgy tetszik, akkor itt van továbbra is a telefonszám 06 90 443 444. A legkönnyebb kérdéseket itt tesszük fel, ott viszont hamar is kell válaszolni.
neutral/neutral2.wav|Na kérem, és akkor lássuk, hogy időrendben hogyan követik egymást ezek a híres hajók. Kolumbusz hajója a XV. században épült, a Santa Maria, a 16.-17. század, a Mayflower, amelyen ugye a...alapító atyák mentek Amerikába, d
neutral/neutral3.wav|1910-es a tragikus sorsú Titanic és 1947. Contiki. Ez a B. Heyerdahl hajója, tehát C,D,A,B. Ez a helyes sorrend. Hány zöldet látunk?
neutral/neutral4.wav|Három segítséga  számítógép, a telefon, illetve a közönség. A közönség ma nagyon kedves. Úgyhogy használja ki ezt a lehetőséget!
neutral/neutral5.wav|Jó. Mit jelöljünk meg? Mit jelöljünk meg? Rendben van, megjelöljük a B-t, ugyanis az összes még Thomas Mann idézi, de ez valóban a thomasmanné novella címe.
neutral/neutral6.wav|Vagyis az indítóház ez a vasútállomás. Itt az ötödik, és ha ez sikerül, akkor százezer garantáltan.
neutral/neutral7.wav|Jó estét kívánok! Vágó István vagyok. Csathó Pétert keresem. Tiszteletem, tanár úr! Nagyon örülök, hogy megtaláltuk. Nagy Sándor ül velem szemben. Önt ez gondolom nem lepi meg.
neutral/neutral8.wav|Érdekes amit mond. Merthogy az ökölvívást jobban figyelemmel kíséri. Igen, de hát itt nagyon nagy a múlt idő. Ugye nagyon erős a múlt?
neutral/neutral9.wav|Megjelöljük a futómadár C-t. Ez gyorsabban jött ez a döntés. Ausztrália egyébként. Ausztrália, Új-Guinea.
neutral/neutral10.wav|Bocsánat kérek, én az előbb így csináltam, Ezzel nem a számot akartam jelezni, úgyhogy még egy kicsit csinálom. Nehogy azt gondolja-
neutral/neutral11.wav|Hát én úgy hallom, minthogyha latinos lenne a neve. Olyan meg itten nincs, hogy ókori római. Na hát akkor most a legendás logikáját figyelembe véve, hogyan dönt?
neutral/neutral12.wav|Mert egyszer már bejött, hogy a legkevésbé valószínű lett vol-- lett a jó. Ezzel szemben Finn Sibelius az egyik legnagyobb finn nemzeti zeneszerző okosan döntött.
neutral/neutral13.wav|Ebből is azkövetkezik  kedves nézők, hogy a rokonok, a nyelvrokonok kultúráját érdemes ám tanulmányozni, mert mert nagyon nevezetes zeneszerzőről van szó. Hárommillió forint.
neutral/neutral14.wav|Na, hát ez a játék is elment. Én nagyon remélem, hogy az itt ülő játékos jelöltek azért még lesznek vendégeink. Kedves nézőktől azzal búcsúzom, hogy olvasnivalót ajánlok a Népszabadságból. Egy telefonszámot, hogyha gondolják, akkor ezen jelentkezhetnek hozzánk.
question/question1.wav|Melyik történelmi alak nem szerepel Erkel Ferenc valamelyik zeneművében, zeneművének címében? Nos, Bocskai Istvánról nem írt Erkel operát, tehát a válasz az volt, hogy D.
question/question2.wav|Itt az új kérdés:Melyik  magyar utazó tárgyalt a holland kormány követeként Japánban? És itt van négy utazó: Teleki Sámuel, Kőrösi-Csomó Sándor, Vámbéry Ármin és Jelki András.
question/question3.wav|Egyhármas kör. Tegyék megépítésük időrendjében a következő híres hajókat. A Titanic. B Kontiki, C Santa Maria és D Mayflower.
question/question4.wav|És akkor kezdjük bemelegítő kérdésekkel. Az első máris ötezer forintot ér. Melyik egy nemzetközi hírnevű magyar étel neve? Tessék, a kondás, a kanász, a gulyás vagy a juhász?
question/question5.wav|Milyen pitypangnak hívják a gyermekláncfüvet? Pipogya, patyolat, ponygyola vagy papucs pitypang?
question/question6.wav|Kedves közönség! Vegyék az ölükbe a nyomógombokat, Legyenek kedvesek és segítsenek Sándornak, Nyomják meg a gombokat most!
question/question7.wav|Itt a harmadik huszonötözezerért. Egészítse ki a híres novella címét Márió és a Varázshegy vagy Márió és a Varázsló, Márió és a kiválasztott vagy Márió és a Buddenbrook-ház.
question/question8.wav|Itt a negyedik kérdés ötvenezerért. Mit neveztek régen indóházak? A telefonközpontot, a kékfestő műhelyt, a vasútállomást vagy az automobil motorját?
question/question9.wav|Azért. Ki rendeztea  Titanic című, 1997-ben készült filmet? James Cameron, Steven Spielberg, Ron Howard vagy Richard Donner?
question/question10.wav|Megvan a százezer! Következik a hatodik kérdés kétszázezerért. Melyik Erkel operában hangzik el a Falotás? A Saroltában, a Bánk bán-ban, a Dózsa Györgyben vagy a Hunyadi Lászlóban?
question/question11.wav|Hetedik kérdés háromszázezerért. Milyen, mára elavult jelentése volt évszázadokkal ezelőtt a marha szónak? Vagyon, család, ügyetlen lovas vagy alattvaló a marha?
question/question12.wav|És következik a nyolcadik kérdés ötszázezerért. Mennyi a fény terjedési sebessége levegőben, légüres térben? Háromszázezer kilométer óránként, háromszázezer kilométer másodpercenként, harmincezer méter másodpercenként vagy százötvenezer méter másodpercenként.
question/question13.wav|Melyik sportág kiválósága volt Varjú Vilmos? Ökölvívás, súlylökés, súlyemelés vagy birkózás?
question/question14.wav|Itt a tizedik másfél millióért. Milyen állat a kazuár? Ausztráliai hüllő, macskaféle, futómadár vagy medúza?
question/question15.wav|Na itt a tizenegyedik hárommillióért. Hányszor kell körbejárnia egy iszlámhívőnek Mekkában a Kába követ? Háromszor, hétszer, ötször vagy tízszer?
question/question16.wav|Aha. Milyen nemzetiségű volt? Hát mondjak zsant? Nem vagyok benne biztos. Sibelius zeneszerző. Német. Belga. Finn. Norvég.
